Day,DATE,SID.TIME,SUN,MOON,MERCURY,VENUS,MARS,JUPITER,SATURN,URANUS,NEPTUNE,PLUTO,NODE
Fr,2020-05-01,14:37:33,11TA05,12LE51,06TA33,19GE07,21AQ38,26CP57,01AQ52,06TA51,20PI13,24CP59,01CN50
Sa,2020-05-02,14:41:29,12TA03,26LE42,08TA39,19GE31,22AQ19,26CP59,01AQ53,06TA55,20PI15,24CP59,01CN47
Su,2020-05-03,14:45:26,13TA02,10VI57,10TA47,19GE54,23AQ01,27CP02,01AQ54,06TA58,20PI17,24CP59,01CN43
Mo,2020-05-04,14:49:22,13TA60,25VI34,12TA55,20GE15,23AQ42,27CP04,01AQ55,07TA02,20PI18,24CP58,01CN40
Tu,2020-05-05,14:53:19,14TA58,10LI28,15TA05,20GE34,24AQ23,27CP06,01AQ56,07TA05,20PI20,24CP58,01CN37
We,2020-05-06,14:57:15,15TA56,25LI32,17TA15,20GE51,25AQ05,27CP07,01AQ56,07TA09,20PI21,24CP58,01CN34
Th,2020-05-07,15:01:12,16TA54,10SC37,19TA25,21GE06,25AQ46,27CP09,01AQ57,07TA12,20PI23,24CP58,01CN31
Fr,2020-05-08,15:05:08,17TA52,25SC32,21TA35,21GE19,26AQ27,27CP10,01AQ57,07TA15,20PI24,24CP57,01CN28
Sa,2020-05-09,15:09:05,18TA50,10SG10,23TA45,21GE29,27AQ08,27CP11,01AQ57,07TA19,20PI25,24CP57,01CN24
Su,2020-05-10,15:13:02,19TA48,24SG24,25TA54,21GE38,27AQ49,27CP12,01AQ57,07TA22,20PI27,24CP57,01CN21
Mo,2020-05-11,15:16:58,20TA46,08CP11,28TA03,21GE44,28AQ31,27CP13,01AQ57,07TA26,20PI28,24CP56,01CN18
Tu,2020-05-12,15:20:55,21TA44,21CP31,00GE11,21GE48,29AQ12,27CP14,01AQ57,07TA29,20PI29,24CP56,01CN15
We,2020-05-13,15:24:51,22TA42,04AQ27,02GE17,21GE50,29AQ53,27CP14,01AQ57,07TA32,20PI31,24CP55,01CN12
Th,2020-05-14,15:28:48,23TA40,17AQ00,04GE21,21GE50,00PI34,27CP14,01AQ57,07TA36,20PI32,24CP55,01CN08
Fr,2020-05-15,15:32:44,24TA38,29AQ17,06GE24,21GE47,01PI15,27CP14,01AQ57,07TA39,20PI33,24CP54,01CN05
Sa,2020-05-16,15:36:41,25TA35,11PI20,08GE25,21GE42,01PI56,27CP14,01AQ56,07TA42,20PI34,24CP54,01CN02
Su,2020-05-17,15:40:37,26TA33,23PI16,10GE23,21GE34,02PI36,27CP14,01AQ56,07TA46,20PI36,24CP53,00CN59
Mo,2020-05-18,15:44:34,27TA31,05AR08,12GE19,21GE24,03PI17,27CP13,01AQ55,07TA49,20PI37,24CP52,00CN56
Tu,2020-05-19,15:48:31,28TA29,16AR60,14GE12,21GE11,03PI58,27CP13,01AQ54,07TA52,20PI38,24CP52,00CN53
We,2020-05-20,15:52:27,29TA27,28AR54,16GE02,20GE56,04PI39,27CP12,01AQ54,07TA56,20PI39,24CP51,00CN49
Th,2020-05-21,15:56:24,00GE24,10TA55,17GE50,20GE39,05PI19,27CP11,01AQ53,07TA59,20PI40,24CP50,00CN46
Fr,2020-05-22,16:00:20,01GE22,23TA03,19GE35,20GE19,05PI60,27CP09,01AQ52,08TA02,20PI41,24CP50,00CN43
Sa,2020-05-23,16:04:17,02GE20,05GE20,21GE16,19GE58,06PI40,27CP08,01AQ51,08TA05,20PI42,24CP49,00CN40
Su,2020-05-24,16:08:13,03GE18,17GE48,22GE55,19GE33,07PI21,27CP06,01AQ49,08TA08,20PI43,24CP48,00CN37
Mo,2020-05-25,16:12:10,04GE15,00CN27,24GE30,19GE07,08PI01,27CP04,01AQ48,08TA12,20PI44,24CP48,00CN34
Tu,2020-05-26,16:16:06,05GE13,13CN18,26GE02,18GE39,08PI42,27CP02,01AQ47,08TA15,20PI45,24CP47,00CN30
We,2020-05-27,16:20:03,06GE10,26CN23,27GE31,18GE09,09PI22,26CP60,01AQ45,08TA18,20PI46,24CP46,00CN27
Th,2020-05-28,0.683333333,07GE08,09LE42,28GE57,17GE38,10PI02,26CP57,01AQ44,08TA21,20PI47,24CP45,00CN24
Fr,2020-05-29,16:27:56,08GE06,23LE17,00CN20,17GE05,10PI42,26CP55,01AQ42,08TA24,20PI48,24CP44,00CN21
Sa,2020-05-30,16:31:53,09GE03,07VI08,01CN39,16GE30,11PI22,26CP52,01AQ40,08TA27,20PI48,24CP43,00CN18
Su,2020-05-31,16:35:49,10GE01,21VI16,02CN55,15GE55,12PI02,26CP49,01AQ39,08TA30,20PI49,24CP42,00CN14
